^SAMPLE = GSM913972
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL
1415793_at	654.1	P
1415794_a_at	616.8	P
1415795_at	143	P
1415796_at	5075.9	P
1415797_at	9.2	A
1415798_at	34	A
1415799_at	1899.5	P
1415800_at	386.6	P
1415801_at	101	P
1415802_at	723.5	P
1415803_at	14.7	A
1415804_at	37	A
1415805_at	41.6	A
1415806_at	23.2	A
1415807_s_at	1681.3	P
1415808_at	20.3	A
1415809_at	4.9	A
1415810_at	576	P
1415811_at	219	P
1415812_at	5008.9	P
1415813_at	1621.2	P
1415814_at	10539	P
1415815_at	25.6	A
1415816_at	3756.7	P
1415817_s_at	1813.7	P
1415818_at	391.1	P
1415819_a_at	2124	P
1415820_x_at	2230.1	P
1415821_at	4313.2	P
1415822_at	2361	P
1415823_at	815.3	P
1415824_at	193.9	P
1415825_s_at	524.9	P
1415826_at	3072.4	P
1415827_a_at	3214.9	P
1415828_a_at	3558.4	P
1415829_at	1814.7	P
1415830_at	342.2	P
1415831_at	3996.5	P
1415832_at	2	A
1415833_x_at	12080.5	P
1415834_at	658.9	P
1415835_at	3.1	A
1415836_at	299.5	P
1415837_at	20.7	A
1415838_at	2682.5	P
1415839_a_at	8212.4	P
1415840_at	931.7	P
1415841_at	1667.8	P
1415842_at	216.3	P
1415843_at	109.2	P
1415844_at	1.2	A
1415845_at	16.1	A
1415846_a_at	1.9	A
1415847_at	4.1	A
1415848_at	9.3	A
1415849_s_at	3739.2	P
1415850_at	675.2	P
1415851_a_at	2563.4	P
1415852_at	3135.7	P
1415853_at	175.6	P
1415854_at	26.4	A
1415855_at	68.1	P
1415856_at	4718.2	P
1415857_at	6904.1	P
1415858_at	4581.1	P
1415859_at	1477.4	P
1415860_at	4575.9	P
1415861_at	28.7	A
1415862_at	30.1	P
1415863_at	5473.6	P
1415864_at	52	P
1415865_s_at	79.5	P
1415866_at	121.4	P
1415867_at	5844.9	P
1415868_at	2.2	A
1415869_a_at	1328.5	P
1415870_at	2192.1	P
1415871_at	960.6	P
1415872_at	2674.4	P
1415873_a_at	1482.8	P
1415874_at	633.2	P
1415875_at	20.3	A
1415876_a_at	7739.2	P
1415877_at	32.5	A
1415878_at	1867.9	P
1415879_a_at	12266.5	P
1415880_a_at	3334	P
1415881_at	2256.6	P
1415882_at	5112	P
1415883_a_at	7.3	A
1415884_at	164.4	M
1415885_at	17.5	A
1415886_at	242.2	P
1415887_at	3045	P
1415888_at	893.1	P
1415889_a_at	5513.5	P
1415890_at	554.7	P
1415891_at	3475.8	P
1415892_at	1923.2	P
1415893_at	1283.5	P
1415894_at	119.3	P
1415895_at	2536.7	A
1415896_x_at	154.3	A
1415897_a_at	653.4	P
1415898_at	15.2	A
1415899_at	997.4	P
1415900_a_at	28	A
1415901_at	1615.3	P
1415902_at	4.9	A
1415903_at	601.5	P
1415904_at	11999.8	P
1415905_at	30.6	A
1415906_at	14578.9	P
1415907_at	637	P
1415908_at	1498.1	P
1415909_at	1097.7	P
1415910_s_at	1530.5	P
1415911_at	265.9	P
1415912_a_at	5609.7	P
1415913_at	46.8	A
1415914_at	5901.2	P
1415915_at	1302	P
1415916_a_at	1241.2	P
1415917_at	572.6	P
1415918_a_at	4720.6	P
1415919_at	154.5	P
1415920_at	2235.3	P
1415921_a_at	8.4	A
1415922_s_at	1225.1	P
1415923_at	1.2	A
1415924_at	3.9	A
1415925_a_at	748.2	P
1415926_at	1140.3	P
1415927_at	32.4	A
1415928_a_at	2745.9	P
1415929_at	2179.4	P
1415930_a_at	3258.9	P
1415931_at	11.9	A
1415932_x_at	17.6	A
